timestamp,iteration,mid_x,mid_y,width,height,area
2025-04-10 12:37:47.795449+0000,241,20.24,-4.7,7.15,4.9,35.05
2025-04-10 12:37:47.797032+0000,241,0.69,2.37,49.03,19.61,961.42
2025-04-10 12:37:47.797366+0000,241,14.38,13.48,7.76,7.84,60.89
2025-04-10 12:37:47.797755+0000,241,37.53,19.69,3.39,4.74,16.07
